Designator,Mid X,Mid Y,Rotation,Layer
C1,121.783922,-142.529001,180.0,bottom
C10,135.692712,-142.338083,0.0,bottom
C11,122.752658,-135.875127,0.0,bottom
C12,135.367443,-136.256964,180.0,bottom
C13,113.75,-124.65,180.0,bottom
C14,135.170286,-138.731838,180.0,bottom
C15,111.0,-132.3,270.0,bottom
C16,122.752658,-134.871035,0.0,bottom
C17,132.659224,-144.820027,270.0,bottom
C2,121.84049,-137.169132,0.0,bottom
C3,138.415073,-140.13898,270.0,bottom
C4,137.425124,-140.153123,270.0,bottom
C5,135.353301,-134.262923,180.0,bottom
C6,135.360372,-135.259944,180.0,bottom
C7,133.917874,-132.841638,90.0,bottom
C8,129.052979,-131.441567,90.0,bottom
C9,129.06005,-144.65656,270.0,bottom
D1,65.15,-118.25,180.0,bottom
D10,122.3,-120.55,180.0,bottom
D11,136.95,-120.55,180.0,bottom
D12,163.1,-120.55,180.0,bottom
D13,65.15,-155.65,180.0,bottom
D14,84.2,-155.65,180.0,bottom
D15,103.25,-155.65,180.0,bottom
D16,122.3,-155.65,180.0,bottom
D17,141.35,-155.65,180.0,bottom
D18,160.4,-154.25,180.0,bottom
D19,103.3,-160.3,180.0,bottom
D2,84.2,-118.25,180.0,bottom
D20,122.3,-157.95,180.0,bottom
D21,141.35,-157.95,180.0,bottom
D22,160.4,-156.55,180.0,bottom
D23,163.05,-81.8375,0.0,bottom
D24,136.95,-81.7875,0.0,bottom
D25,122.2,-81.8,0.0,bottom
D26,103.15,-81.8,0.0,bottom
D27,84.1,-81.8,0.0,bottom
D28,65.05,-81.8,0.0,bottom
D29,163.05,-79.5375,0.0,bottom
D3,103.25,-118.25,180.0,bottom
D30,136.95,-79.4875,0.0,bottom
D31,122.2,-79.5,0.0,bottom
D32,103.15,-79.5,0.0,bottom
D33,84.1,-79.5,0.0,bottom
D34,65.05,-79.5,0.0,bottom
D35,160.3,-45.3,0.0,bottom
D36,141.4,-44.4,0.0,bottom
D37,122.35,-44.4,0.0,bottom
D38,103.3,-44.4,0.0,bottom
D39,84.25,-44.4,0.0,bottom
D4,122.3,-118.25,180.0,bottom
D40,65.2,-44.4,0.0,bottom
D41,160.3,-43.0,0.0,bottom
D42,141.4,-42.1,0.0,bottom
D43,122.35,-42.1,0.0,bottom
D44,103.25,-39.7,0.0,bottom
D5,136.95,-118.25,180.0,bottom
D6,163.1,-118.25,180.0,bottom
D7,65.15,-120.55,180.0,bottom
D8,84.2,-120.55,180.0,bottom
D9,103.25,-120.55,180.0,bottom
F1,110.0,-124.65,0.0,bottom
FB1,111.9,-124.65,180.0,bottom
J1,114.3,-102.9,180.0,bottom
J2,150.01875,-121.5,0.0,bottom
J3,150.01875,-78.58125,180.0,bottom
R1,140.041419,-137.62168,0.0,bottom
R2,140.041419,-136.617589,180.0,bottom
R3,124.42143,-138.54799,180.0,bottom
R4,112.95,-109.9,90.0,bottom
R5,115.45,-109.55,90.0,bottom
SW72,150.01875,-140.49375,0.0,bottom
SW73,111.91875,-140.49375,180.0,bottom
U1,130.05,-138.35,180.0,bottom
U3,111.91875,-115.4375,270.0,bottom
U4,111.95,-128.65,270.0,bottom
U5,135.665001,-140.935,180.0,bottom
Y1,121.691998,-139.849067,270.0,bottom
